"Id	Name"
"80	長門 (ながと)"
"81	陸奥 (むつ)"
"77	伊勢 (いせ)"
"87	日向 (ひゅうが)"
"20	雪風 (ゆきかぜ)"
"83	赤城 (あかぎ)"
"84	加賀 (かが)"
"90	蒼龍 (そうりゅう)"
"91	飛龍 (ひりゅう)"
"50	島風 (しまかぜ)"
"9	吹雪 (ふぶき)"
"10	白雪 (しらゆき)"
"32	初雪 (はつゆき)"
"11	深雪 (みゆき)"
"33	叢雲 (むらくも)"
"12	磯波 (いそなみ)"
"13	綾波 (あやなみ)"
"14	敷波 (しきなみ)"
"24	大井 (おおい)"
"25	北上 (きたかみ)"
"78	金剛 (こんごう)"
"86	比叡 (ひえい)"
"79	榛名 (はるな)"
"85	霧島 (きりしま)"
"89	鳳翔 (ほうしょう)"
"26	扶桑 (ふそう)"
"27	山城 (やましろ)"
"51	天龍 (てんりゅう)"
"52	龍田 (たつた)"
"76	龍驤 (りゅうじょう)"
"1	睦月 (むつき)"
"2	如月 (きさらぎ)"
"28	皐月 (さつき)"
"29	文月 (ふみづき)"
"6	長月 (ながつき)"
"30	菊月 (きくづき)"
"7	三日月 (みかづき)"
"31	望月 (もちづき)"
"99	球磨 (くま)"
"100	多摩 (たま)"
"101	木曾 (きそ)"
"21	長良 (ながら)"
"22	五十鈴 (いすず)"
"53	名取 (なとり)"
"23	由良 (ゆら)"
"54	川内 (せんだい)"
"55	神通 (じんつう)"
"56	那珂 (なか)"
"102	千歳 (ちとせ)"
"103	千代田 (ちよだ)"
"70	最上 (もがみ)"
"59	古鷹 (ふるたか)"
"60	加古 (かこ)"
"61	青葉 (あおば)"
"62	妙高 (みょうこう)"
"63	那智 (なち)"
"64	足柄 (あしがら)"
"65	羽黒 (はぐろ)"
"66	高雄 (たかお)"
"67	愛宕 (あたご)"
"68	摩耶 (まや)"
"69	鳥海 (ちょうかい)"
"71	利根 (とね)"
"72	筑摩 (ちくま)"
"75	飛鷹 (ひよう)"
"92	隼鷹 (じゅんよう)"
"93	朧 (おぼろ)"
"15	曙 (あけぼの)"
"94	漣 (さざなみ)"
"16	潮 (うしお)"
"34	暁 (あかつき)"
"35	響 (ひびき)"
"36	雷 (いかづち)"
"37	電 (いなづま)"
"38	初春 (はつはる)"
"39	子日 (ねのひ)"
"40	若葉 (わかば)"
"41	初霜 (はつしも)"
"42	白露 (しらつゆ)"
"43	時雨 (しぐれ)"
"44	村雨 (むらさめ)"
"45	夕立 (ゆうだち)"
"46	五月雨 (さみだれ)"
"47	涼風 (すずかぜ)"
"95	朝潮 (あさしお)"
"96	大潮 (おおしお)"
"97	満潮 (みちしお)"
"98	荒潮 (あらしお)"
"48	霰 (あられ)"
"49	霞 (かすみ)"
"17	陽炎 (かげろう)"
"18	不知火 (しらぬい)"
"19	黒潮 (くろしお)"
"74	祥鳳 (しょうほう)"
"104	千歳改 (ちとせ)"
"105	千代田改 (ちよだ)"
"57	大井改 (おおい)"
"58	北上改 (きたかみ)"
"106	千歳甲 (ちとせ)"
"107	千代田甲 (ちよだ)"
"73	最上改 (もがみ)"
"82	伊勢改 (いせ)"
"88	日向改 (ひゅうが)"
"108	千歳航 (ちとせ)"
"109	千代田航 (ちよだ)"
"110	翔鶴 (しょうかく)"
"111	瑞鶴 (ずいかく)"
"112	瑞鶴改 (ずいかく)"
"113	鬼怒 (きぬ)"
"114	阿武隈 (あぶくま)"
"115	夕張 (ゆうばり)"
"116	瑞鳳 (ずいほう)"
"117	瑞鳳改 (ずいほう)"
"118	大井改二 (おおい)"
"119	北上改二 (きたかみ)"
"120	三隈 (みくま)"
"121	三隈改 (みくま)"
"190	初風 (はつかぜ)"
"122	舞風 (まいかぜ)"
"123	衣笠 (きぬがさ)"
"296	千歳航改二 (ちとせ)"
"297	千代田航改二 (ちよだ)"
"191	伊19 (い19)"
"124	鈴谷 (すずや)"
"125	熊野 (くまの)"
"126	伊168 (い168)"
"127	伊58 (い58)"
"128	伊8 (い8)"
"129	鈴谷改 (すずや)"
"130	熊野改 (くまの)"
"131	大和 (やまと)"
"132	秋雲 (あきぐも)"
"133	夕雲 (ゆうぐも)"
"134	巻雲 (まきぐも)"
"135	長波 (ながなみ)"
"136	大和改 (やまと)"
"137	阿賀野 (あがの)"
"138	能代 (のしろ)"
"139	矢矧 (やはぎ)"
"140	酒匂 (さかわ)"
"141	五十鈴改二 (いすず)"
"142	衣笠改二 (きぬがさ)"
"143	武蔵 (むさし)"
"144	夕立改二 (ゆうだち)"
"145	時雨改二 (しぐれ)"
"146	木曾改二 (きそ)"
"147	Верный (ひびき)"
"148	武蔵改 (むさし)"
"149	金剛改二 (こんごう)"
"150	比叡改二 (ひえい)"
"151	榛名改二 (はるな)"
"152	霧島改二 (きりしま)"
"153	大鳳 (たいほう)"
"154	香取 (かとり)"
"155	伊401 (い401)"
"156	大鳳改 (たいほう)"
"157	龍驤改二 (りゅうじょう)"
"158	川内改二 (せんだい)"
"159	神通改二 (じんつう)"
"160	那珂改二 (なか)"
"161	あきつ丸 (あきつまる)"
"162	神威 (かもい)"
"163	まるゆ (まるゆ)"
"164	弥生 (やよい)"
"165	卯月 (うづき)"
"166	あきつ丸改 (あきつまる)"
"167	磯風 (いそかぜ)"
"168	浦風 (うらかぜ)"
"169	谷風 (たにかぜ)"
"170	浜風 (はまかぜ)"
"171	Bismarck (ビスマルク)"
"172	Bismarck改 (ビスマルク)"
"173	Bismarck zwei (ビスマルク)"
"174	Z1 (レーベレヒト・マース)"
"175	Z3 (マックス・シュルツ)"
"176	Prinz Eugen (プリンツ・オイゲン)"
"177	Prinz Eugen改 (プリンツ・オイゲン)"
"178	Bismarck drei (ビスマルク)"
"179	Z1 zwei (レーベレヒト・マース)"
"180	Z3 zwei (マックス・シュルツ)"
"181	天津風 (あまつかぜ)"
